"pdes","name","H","a","e","i","om","w","ma"
433,Eros,10.39,1.458,0.2228,10.83,304.27,178.93,310.55
719,Albert,15.59,2.637,0.5466,11.57,183.86,156.19,240.61
887,Alinda,13.81,2.474,0.5712,9.40,110.41,350.53,81.54
1036,Ganymed,9.18,2.665,0.5332,26.68,215.44,132.50,97.59
1221,Amor,17.37,1.92,0.4346,11.87,171.24,26.76,59.87
1566,Icarus,16.53,1.078,0.8270,22.80,87.95,31.44,153.08
1580,Betulia,14.61,2.195,0.4876,52.19,62.22,159.72,80.27
1620,Geographos,15.27,1.246,0.3355,13.34,337.14,277.02,212.92
1627,Ivar,12.79,1.863,0.3973,8.46,133.07,167.84,311.46
1685,Toro,14.28,1.368,0.4360,9.38,274.21,127.28,82.68
1862,Apollo,16.08,1.471,0.5599,6.35,35.54,286.05,113.88
1863,Antinous,15.46,2.26,0.6063,18.38,345.55,269.07,289.56
1864,Daedalus,14.84,1.461,0.6144,22.22,6.60,325.66,257.57
1865,Cerberus,16.79,1.08,0.4669,16.10,212.88,325.29,319.67
1866,Sisyphus,12.48,1.893,0.5381,41.21,63.45,293.10,140.66
1915,Quetzalcoatl,18.38,2.545,0.5702,20.40,162.92,347.76,21.62
1916,Boreas,14.92,2.273,0.4492,12.88,340.60,335.85,35.11
1917,Cuyo,14.38,2.149,0.5055,23.96,188.27,194.55,160.09
1943,Anteros,15.69,1.431,0.2559,8.71,246.29,338.44,260.37
1980,Tezcatlipoca,13.81,1.709,0.3647,26.87,246.54,115.47,211.50
1981,Midas,15.25,1.776,0.6505,39.82,356.79,267.84,65.35
2059,Baboquivari,15.98,2.642,0.5316,11.02,200.69,192.46,143.16
2061,Anza,16.70,2.265,0.5356,3.80,207.35,157.11,38.89
2062,Aten,17.11,0.967,0.1829,18.94,108.53,148.08,32.64
2063,Bacchus,17.21,1.078,0.3494,9.43,33.04,55.35,234.79
2100,Ra-Shalom,16.25,0.832,0.4365,15.76,170.76,356.08,249.11
2101,Adonis,18.69,1.874,0.7641,1.32,349.41,43.71,24.48
2102,Tantalus,16.00,1.29,0.2994,64.01,94.35,61.50,347.36
2135,Aristaeus,18.05,1.6,0.5031,23.07,191.11,290.98,37.18
2201,Oljato,15.32,2.179,0.7107,2.52,74.86,98.37,97.01
2202,Pele,16.98,2.291,0.5129,8.74,169.90,217.97,109.59
2212,Hephaistos,13.50,2.168,0.8347,11.20,26.57,210.46,308.24
2329,Orthos,14.58,2.411,0.6533,24.46,169.25,146.11,71.29
2340,Hathor,20.43,0.8439,0.4499,5.86,211.28,40.12,201.98
2368,Beltrovata,15.15,2.105,0.4134,5.22,287.29,43.05,287.81
2608,Seneca,17.48,2.53,0.5647,14.43,166.42,38.71,10.72
3102,Krok,16.16,2.151,0.4492,8.44,172.05,154.75,6.75
3103,Eger,15.30,1.404,0.3542,20.93,129.73,254.10,181.12
3122,Florence,14.08,1.769,0.4232,22.14,336.04,27.88,168.26
3199,Nefertiti,14.99,1.575,0.2841,32.96,339.97,53.44,278.49
